bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,64,-1,2.30695e+06
4,1,16,16,2,64,-1,2.31356e+06
4,1,16,16,4,64,-1,2.31575e+06
4,1,16,16,8,64,-1,2.31454e+06
3,1,16,16,5,64,-1,2.14748e+09
2,1,16,16,1,64,-1,2.30571e+06
2,1,16,16,2,64,-1,2.31651e+06
2,1,16,16,4,64,-1,2.29343e+06
2,1,16,16,8,64,-1,2.29916e+06
4,1,16,16,1,64,64,2.55606e+06
4,1,16,16,2,64,64,2.5236e+06
4,1,16,16,4,64,64,2.52286e+06
4,1,16,16,8,64,64,2.55941e+06
3,1,16,16,5,64,64,2.69127e+06
2,1,16,16,1,64,64,2.58609e+06
2,1,16,16,2,64,64,2.51978e+06
2,1,16,16,4,64,64,2.55417e+06
2,1,16,16,8,64,64,2.54741e+06
4,1,16,32,1,64,-1,1.67894e+06
4,1,16,32,2,64,-1,1.70335e+06
4,1,16,32,4,64,-1,1.74598e+06
4,1,16,32,8,64,-1,1.76092e+06
3,1,16,32,5,64,-1,2.14748e+09
2,1,16,32,1,64,-1,1.5839e+06
2,1,16,32,2,64,-1,1.58635e+06
2,1,16,32,4,64,-1,1.85883e+06
2,1,16,32,8,64,-1,1.62794e+06
4,1,16,32,1,64,64,2.02292e+06
4,1,16,32,2,64,64,1.92394e+06
4,1,16,32,4,64,64,2.05365e+06
4,1,16,32,8,64,64,2.05477e+06
3,1,16,32,5,64,64,1.9999e+06
2,1,16,32,1,64,64,1.87206e+06
2,1,16,32,2,64,64,1.85198e+06
2,1,16,32,4,64,64,2.02453e+06
2,1,16,32,8,64,64,1.92698e+06
