bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,20,-1,87882
4,1,16,16,2,20,-1,89083
4,1,16,16,4,20,-1,93158
4,1,16,16,8,20,-1,87427
3,1,16,16,5,20,-1,2.14748e+09
2,1,16,16,1,20,-1,88339
2,1,16,16,2,20,-1,88620
2,1,16,16,4,20,-1,87514
2,1,16,16,8,20,-1,88251
4,1,16,16,1,20,64,116243
4,1,16,16,2,20,64,112712
4,1,16,16,4,20,64,115109
4,1,16,16,8,20,64,114770
3,1,16,16,5,20,64,121952
2,1,16,16,1,20,64,103043
2,1,16,16,2,20,64,103339
2,1,16,16,4,20,64,105858
2,1,16,16,8,20,64,103524
4,1,16,32,1,20,-1,79140
4,1,16,32,2,20,-1,79489
4,1,16,32,4,20,-1,82470
4,1,16,32,8,20,-1,80581
3,1,16,32,5,20,-1,2.14748e+09
2,1,16,32,1,20,-1,72088
2,1,16,32,2,20,-1,73358
2,1,16,32,4,20,-1,70081
2,1,16,32,8,20,-1,72612
4,1,16,32,1,20,64,95214
4,1,16,32,2,20,64,90732
4,1,16,32,4,20,64,93954
4,1,16,32,8,20,64,93696
3,1,16,32,5,20,64,87789
2,1,16,32,1,20,64,89564
2,1,16,32,2,20,64,85297
2,1,16,32,4,20,64,90393
2,1,16,32,8,20,64,85730
