,tag,_timestamp,interventions,edit,unlearn,compression,model_name,edit_dataset,number_of_edits,wbits,compression_dataset,sparsity_ratio,qa_question_count_limit,mmlu accuracy,wmdp_bio accuracy,wmdp_cyber accuracy,PPL,PPL edits,PPl QA,Generalization,FLOPs,Success recall,Generalization recall,Locality,Average bits,Rewrite accuracy,PPl edits unmasked,Local recall,Latency,date
11,AWQ2bit-to-lora,1716350745.2390049,"['compress', 'edit']",Lora,,AWQ,Llama-3 (8b),zsre,50,2,c4,0.0,,0.23486682808716708,0.2474469756480754,0.2637141419224962,86477.578125,89332.5078125,262770.0,0.056666666666666664,-1,0.07055555555555555,0.039999999999999994,0.0,2.25,0.08963636363636363,75743.3203125,0.0,519.011763671875,2024-05-22 04:05:45.239004850
10,AWQ4bit-to-lora,1716350743.6698494,"['compress', 'edit']",Lora,,AWQ,Llama-3 (8b),zsre,50,4,c4,0.0,,0.5846033328585671,0.6527886881382561,0.4353296426774031,21.96885108947754,433799.25,5790.7646484375,0.7492307692307691,-1,1.0,0.75,0.08516246498599439,4.25,1.0,13423.48046875,0.08519444444444443,519.6763393554687,2024-05-22 04:05:43.669849396
16,GPTQ4bit-to-memit,1716350666.379633,"['compress', 'edit']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,4,c4,0.0,,0.5748468879077054,0.6559308719560094,0.4348263714141922,6.380575656890869,13671.7568359375,529.8047485351562,0.695079365079365,-1,0.8457777777777779,0.6922222222222222,0.02279098384221724,4.25,0.850063492063492,557.28759765625,0.02264957264957265,88.7407770614624,2024-05-22 04:04:26.379632950
14,GPTQ8bit-to-memit,1716350651.8424325,"['compress', 'edit']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,8,c4,0.0,,0.5989175331149409,0.6810683424980362,0.4383492702566684,5.569826126098633,14230.1328125,389.6361389160156,0.7644444444444445,-1,0.8427777777777777,0.7644444444444445,0.0123505798018132,8.25,0.8427777777777777,517.0703735351562,0.012649572649572649,87.43958310699463,2024-05-22 04:04:11.842432499
15,GPTQ2bit-to-memit,1716350631.267394,"['compress', 'edit']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,2,c4,0.0,,0.23002421307506055,0.24587588373919875,0.2591847005535984,886242.5625,681645.6875,305217.375,0.0022222222222222222,-1,0.004,0.0022222222222222222,0.005295977011494253,2.25,0.0044444444444444444,313188.96875,0.004861111111111111,87.15797401428223,2024-05-22 04:03:51.267394066
4,AWQ4bit-to-memit,1716348470.1684997,"['compress', 'edit']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,4,c4,0.0,,0.5715710012818687,0.6559308719560094,0.4247609461499749,5.973974704742432,19292.021484375,405.9114379882813,0.9253052503052503,-1,0.9477777777777776,0.9244444444444444,0.014873934000741563,4.25,0.9532539682539682,541.7135620117188,0.014444444444444444,97.597256690979,2024-05-22 03:27:50.168499708
6,AWQ2bit-to-memit,1716348404.867315,"['compress', 'edit']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,2,c4,0.0,,0.2689075630252101,0.2403770620581304,0.24559637644690488,987989.875,1211471.25,1153709.75,0.0,-1,0.0,0.0,0.0,2.25,0.0,1273859.5,0.0,95.66685897827148,2024-05-22 03:26:44.867315054
5,AWQ8bit-to-memit,1716348377.7239027,"['compress', 'edit']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,8,c4,0.0,,0.5972083748753739,0.6842105263157895,0.447408152994464,5.594921112060547,19605.09765625,403.3703002929687,0.8588235294117647,-1,0.8677777777777778,0.8577777777777778,0.01921428571428572,8.25,0.8688235294117647,519.8302612304688,0.01875,94.57396132659912,2024-05-22 03:26:17.723902702
9,AWQ4bit-to-ft,1716348059.5118728,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,4,c4,0.0,,0.5745620282011109,0.6504320502749411,0.4323100150981379,5.966148376464844,30692.125,410.2098388671875,0.8142424242424242,-1,1.0,0.8133333333333332,0.13225919902010985,4.25,1.0,537.6360473632812,0.13239957264957267,95.06077188873292,2024-05-22 03:20:59.511872768
8,AWQ2bit-to-ft,1716347976.3471673,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,2,c4,0.0,,0.24654607605754167,0.2474469756480754,0.24308002013085053,41847.62890625,523527.3125,117964.5859375,0.0,-1,0.0,0.0,0.0,2.25,0.0,114254.859375,0.0,95.7780295791626,2024-05-22 03:19:36.347167253
7,AWQ8bit-to-ft,1716347925.03121,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,8,c4,0.0,,0.5967098703888335,0.6787117046347211,0.43683945646703576,5.593654155731201,71067.4609375,466.0944213867187,0.8544444444444445,-1,0.995,0.8544444444444445,0.12964140271493213,8.25,0.995,743.7782592773438,0.12951068376068375,95.21136128234863,2024-05-22 03:18:45.031209946
50,SparseGPT0.65%-to-memit,1716347878.7874987,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.65,,0.3070787637088734,0.38256087981146897,0.28787116255661804,22.82939338684082,29793.70703125,1828.48388671875,0.05833333333333334,759.86 GFLOPS,0.11622222222222224,0.057888888888888886,0.010900007512583576,6.24998218824084,0.11666666666666668,1358.2755126953125,0.01043803418803419,-1.0,2024-05-22 03:17:58.787498713
54,SparseGPT0.25%-to-memit,1716347744.578335,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.25,,0.587665574704458,0.6842105263157895,0.43130347257171614,5.893100738525391,17332.056640625,386.9945983886719,0.7994871794871795,1.47 TFLOPS,0.82,0.8,0.04135908807967631,12.24997709161387,0.8192307692307692,451.8627624511719,0.0420534188034188,-1.0,2024-05-22 03:15:44.578335047
52,SparseGPT0.45%-to-memit,1716347722.3863933,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.45,,0.520153824241561,0.6237234878240377,0.3990941117262205,7.493183135986328,12682.4599609375,503.82281494140625,0.43511111111111106,1.12 TFLOPS,0.6495555555555554,0.43511111111111106,0.023403612340993748,9.249987590914737,0.6495555555555554,458.59332275390625,0.023942307692307693,-1.0,2024-05-22 03:15:22.386393309
