,tag,_timestamp,interventions,edit,unlearn,compression,model_name,edit_dataset,number_of_edits,wbits,compression_dataset,sparsity_ratio,qa_question_count_limit,mmlu accuracy,wmdp_bio accuracy,wmdp_cyber accuracy,PPL,PPL edits,PPl QA,Generalization,FLOPs,Success recall,Generalization recall,Locality,Average bits,Rewrite accuracy,PPl edits unmasked,Local recall,Latency,date
31,ft-to-GPTQ8bit,1716228614.430777,"['edit', 'compress']",Fine-tune,,GPTQ,Llama-3 (8b),zsre,50,8.0,c4,0.0,,0.6111665004985045,0.6912804399057345,0.4358329139406139,5.573992729187012,20231.30859375,519.865478515625,0.7648571428571429,-1,1.0,0.7648571428571429,0.12338517998908095,8.25,1.0,599.8272094726562,0.12226984126984126,90.55144346618653,2024-05-20 18:10:14.430777073
34,ft-to-GPTQ2bit,1716228509.7371607,"['edit', 'compress']",Fine-tune,,GPTQ,Llama-3 (8b),zsre,50,2.0,c4,0.0,,0.24505056259792052,0.24273369992144544,0.23955712128837445,1995.7056884765625,216888.546875,33668.125,0.003333333333333333,-1,0.002857142857142857,0.002857142857142857,0.013130628307910256,2.25,0.002857142857142857,33979.2734375,0.012492784992784991,87.1559741821289,2024-05-20 18:08:29.737160683
35,ft-to-GPTQ4bit,1716228508.153464,"['edit', 'compress']",Fine-tune,,GPTQ,Llama-3 (8b),zsre,50,4.0,c4,0.0,,0.5812562313060817,0.6496465043205027,0.4217413185707096,12.934673309326172,7060.17138671875,566.9153442382812,0.5831904761904763,-1,0.7101904761904763,0.5831904761904763,0.17413404952535383,4.25,0.7101904761904763,535.25,0.1726319791319791,88.70339897918701,2024-05-20 18:08:28.153464079
37,ft-to-AWQ2bit,1716226705.889359,"['edit', 'compress']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,2.0,c4,0.0,,0.2689075630252101,0.2403770620581304,0.24559637644690488,1739216.25,1048946.125,1127160.5,0.0,-1,0.0,0.0,0.0,2.25,0.0,1027492.875,0.0,87.89178164672852,2024-05-20 17:38:25.889358997
36,ft-to-AWQ4bit,1716226644.918594,"['edit', 'compress']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,4.0,c4,0.0,,0.5880928642643498,0.6716417910447762,0.43683945646703576,5.9520673751831055,14338.158203125,502.1154479980469,0.7598571428571428,-1,0.9655714285714286,0.7598571428571428,0.1112302896344642,4.25,0.9655714285714286,544.5101928710938,0.110513431013431,87.2330444946289,2024-05-20 17:37:24.918593884
38,ft-to-AWQ8bit,1716226610.2599783,"['edit', 'compress']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,8.0,c4,0.0,,0.6135165930779092,0.6897093479968578,0.4383492702566684,5.574142932891846,20541.75390625,523.0933837890625,0.7848571428571429,-1,1.0,0.7848571428571429,0.12466677256332429,8.25,1.0,603.2747802734375,0.12372172272172272,86.33611176300049,2024-05-20 17:36:50.259978294
55,memit-to-GPTQ8bit,1716226340.3308928,"['edit', 'compress']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,8.0,c4,0.0,,0.61088164079191,0.7054202670856246,0.43683945646703576,5.56383752822876,10787.078125,376.7815246582031,0.97,-1,0.985,0.97,0.0395529701336153,8.25,0.985,488.53564453125,0.03995931845931846,87.98978457641601,2024-05-20 17:32:20.330892801
56,memit-to-GPTQ2bit,1716226206.4750416,"['edit', 'compress']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,2.0,c4,0.0,,0.24070645207235436,0.24194815396700703,0.2652239557121288,1663.8614501953125,192137.21875,29891.296875,0.0,-1,0.01852380952380953,0.0,0.028877472201001612,2.25,0.019238095238095235,28842.1796875,0.024062992562992568,87.09711555480958,2024-05-20 17:30:06.475041628
53,memit-to-GPTQ4bit,1716226186.725952,"['edit', 'compress']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,4.0,c4,0.0,,0.5875231448511608,0.6700706991358995,0.4237544036235531,13.17039394378662,7522.203125,453.298095703125,0.8854285714285715,-1,0.9277619047619048,0.8854285714285715,0.029753080253080256,4.25,0.9284761904761905,500.0202941894531,0.02922122322122322,87.46855727386475,2024-05-20 17:29:46.725951910
60,memit-to-AWQ8bit,1716224433.727813,"['edit', 'compress']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,8.0,c4,0.0,,0.6102407064520724,0.7022780832678712,0.4378459989934575,5.563590049743652,10761.5029296875,375.4625549316406,0.97,-1,0.99,0.97,0.04063902982587827,8.25,0.99,485.2898254394531,0.04079265179265179,88.92007735443116,2024-05-20 17:00:33.727813005
65,memit-to-AWQ4bit,1716224428.5099,"['edit', 'compress']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,4.0,c4,0.0,,0.5843896880786212,0.6637863315003928,0.4378459989934575,5.943856716156006,9163.966796875,390.7336730957031,0.9412857142857144,-1,0.995,0.9412857142857144,0.019842357678816796,4.25,0.995,472.1679382324219,0.01968154068154068,88.62008514404297,2024-05-20 17:00:28.509900093
66,memit-to-AWQ2bit,1716224394.0902865,"['edit', 'compress']",MEMIT,,AWQ,Llama-3 (8b),zsre,50,2.0,c4,0.0,,0.2689075630252101,0.2403770620581304,0.24559637644690488,1738085.5,1049943.0,1110360.75,0.0,-1,0.0,0.0,0.0,2.25,0.0,1011983.75,0.0,87.54501126098633,2024-05-20 16:59:54.090286493
74,lora-to-GPTQ4bit,1716164978.410553,"['edit', 'compress']",Lora,,GPTQ,Llama-3 (8b),zsre,50,4.0,c4,0.0,,0.5863837060247828,0.6732128829536528,0.43130347257171614,116.23709106445312,40680.859375,8908.0908203125,0.3622222222222222,-1,0.5203333333333333,0.36022222222222217,0.06849509803921569,4.25,0.5210512820512821,8182.89208984375,0.06867735042735043,89.14634139251709,2024-05-20 00:29:38.410552979
