experiment_tag,first_intervention,second_intervention,completed
MEMIT_WANDA25%,MEMIT,WANDA25%,True
WANDA25%_MEMIT,WANDA25%,MEMIT,True
MEMIT_WANDA35%,MEMIT,WANDA35%,True
WANDA35%_MEMIT,WANDA35%,MEMIT,True
MEMIT_WANDA45%,MEMIT,WANDA45%,True
WANDA45%_MEMIT,WANDA45%,MEMIT,True
MEMIT_WANDA55%,MEMIT,WANDA55%,True
WANDA55%_MEMIT,WANDA55%,MEMIT,True
MEMIT_WANDA65%,MEMIT,WANDA65%,True
WANDA65%_MEMIT,WANDA65%,MEMIT,True
MEMIT_WANDA75%,MEMIT,WANDA75%,True
WANDA75%_MEMIT,WANDA75%,MEMIT,True
MEMIT_AWQ2bit,MEMIT,AWQ2bit,True
AWQ2bit_MEMIT,AWQ2bit,MEMIT,True
MEMIT_AWQ3bit,MEMIT,AWQ3bit,True
AWQ3bit_MEMIT,AWQ3bit,MEMIT,True
MEMIT_AWQ4bit,MEMIT,AWQ4bit,True
AWQ4bit_MEMIT,AWQ4bit,MEMIT,True
MEMIT_AWQ5bit,MEMIT,AWQ5bit,True
AWQ5bit_MEMIT,AWQ5bit,MEMIT,True
MEMIT_AWQ6bit,MEMIT,AWQ6bit,True
AWQ6bit_MEMIT,AWQ6bit,MEMIT,True
MEMIT_AWQ8bit,MEMIT,AWQ8bit,True
AWQ8bit_MEMIT,AWQ8bit,MEMIT,True
NONE,NONE,,True
MEMIT,MEMIT,,False
WANDA25%,WANDA25%,,True
WANDA35%,WANDA35%,,True
WANDA45%,WANDA45%,,True
WANDA55%,WANDA55%,,True
WANDA65%,WANDA65%,,True
WANDA75%,WANDA75%,,True
AWQ2bit,AWQ2bit,,True
AWQ3bit,AWQ3bit,,True
AWQ4bit,AWQ4bit,,True
AWQ5bit,AWQ5bit,,True
AWQ6bit,AWQ6bit,,True
AWQ8bit,AWQ8bit,,True
