,model_name,interventions,edit,edit_dataset,compression,compression_dataset,unlearn,unlearn_method,wbits,sparsity_ratio,PPl edits unmasked,PPl QA,Rewrite accuracy,Generalization,wmdp_bio accuracy,wmdp_bio stderr,wmdp_cyber accuracy,wmdp_cyber stderr,mmlu,mmlu stderr
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,GPTQ,c4,RMU,rmu,4,0.0,507.6988220214844,472.1544494628906,0.0,0.0,0.6472898664571878,0.013397223946200309,0.4207347760442879,0.01107779467582734,0.5886625836775388,0.003899187529552309
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,GPTQ,c4,RMU,rmu,2,0.0,150067.625,158079.265625,0.002857142857142857,0.006666666666666666,0.2474469756480754,0.012099462339615808,0.2536487166582788,0.009763338674472571,0.22988178322176328,0.003544219618719744
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,GPTQ,c4,RMU,rmu,8,0.0,445.7376098632813,401.4773254394531,0.01282051282051282,0.01,0.29615082482325217,0.012801260065353572,0.27226975339708104,0.009988385369372566,0.5776954849736505,0.0038910210165356406
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,GPTQ,c4,RMU,rmu,2,0.0,23385.7734375,26722.626953125,0.0,0.0,0.2498036135113904,0.012137892490465228,0.23955712128837445,0.00957741308254361,0.24092009685230023,0.003608174613978612
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,GPTQ,c4,RMU,rmu,4,0.0,525.0687866210938,475.0665893554687,0.014743589743589743,0.01904761904761905,0.35899450117831894,0.013450276741385186,0.26723704076497234,0.009929799029458636,0.5841048283720268,0.003907219729073967
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,GPTQ,c4,RMU,rmu,8,0.0,448.18603515625,402.8453674316406,0.01282051282051282,0.01,0.4234092694422624,0.013853849111865523,0.2692501258178158,0.009953428704890393,0.6029767839339125,0.0038544728209205527
0,Llama-3 (8b),"['edit', 'unlearn']",Lora,zsre,,c4,RMU,rmu,16,0.0,25660.986328125,16650.169921875,1.0,0.6185714285714284,0.5907305577376276,0.013786557060265525,0.3286361348766985,0.010540155454452796,0.5977068793619142,0.003836768739791861
0,Llama-3 (8b),"['unlearn', 'edit']",Lora,zsre,,c4,RMU,rmu,16,0.0,10560.212890625,7980.9267578125,1.0,0.6149999999999999,0.5365278868813825,0.01398184226463706,0.31001509813789635,0.010378189449318464,0.59585529126905,0.003861764322714088
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,SparseGPT,c4,RMU,rmu,4,0.65,1688.5322265625,1616.09228515625,0.0,0.006666666666666666,0.2513747054202671,0.012163245714085004,0.2727730246602919,0.00999415493017616,0.23223187580116791,0.003557348479004866
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,SparseGPT,c4,RMU,rmu,4,0.45,637.708251953125,555.71484375,0.0,0.005714285714285715,0.377847604084839,0.013594497828332957,0.32511323603422243,0.010510978765895624,0.5174476570289133,0.004034531055104965
0,Llama-3 (8b),"['compress', 'unlearn']",,zsre,SparseGPT,c4,RMU,rmu,4,0.25,481.4843444824219,425.65081787109375,0.006153846153846153,0.025238095238095237,0.4124116260801257,0.013802523375681032,0.2863613487669854,0.010143942047920473,0.5887337986041874,0.00389201814186036
0,Llama-3 (8b),"['edit', 'unlearn']",MEMIT,zsre,,c4,RMU,rmu,16,0.0,435.9518737792969,378.6062316894531,0.952,0.932,0.4257659073055774,0.013863930495174532,0.276295923502768,0.010034093095492072,0.5917960404500784,0.003883670316473762
0,Llama-3 (8b),"['unlearn', 'compress']",,zsre,SparseGPT,c4,RMU,rmu,4,0.45,637.0521240234375,549.9966430664062,0.021153846153846155,0.021666666666666664,0.25923016496465046,0.012286858505397012,0.2657272269753397,0.009911904705651849,0.4657456202820111,0.004021220820757531
0,Llama-3 (8b),"['edit', 'unlearn']",Fine-tune,zsre,,c4,RMU,rmu,16,0.0,542.7503662109375,470.0383911132813,1.0,0.7998571428571429,0.3197172034564022,0.013076279392845737,0.2667337695017615,0.009923850691257324,0.5741347386412192,0.003903374075653282
